Item_Identifier,Item_Type,Item_MRP,Sales,Outlet_Identifier,Outlet_Type,Outlet_Establishment_Year
620c1161-c07d-49be-8e60-4d94c8f2190f,Electronics,300.3,7465,e1365881-5a3a-4abe-b557-49a51e024303,Online,2001
3e1cd038-5785-41f1-8059-6d6a2a4d5355,Food,100.82,7268,84728f19-56ab-4c9b-b8e4-508da335b65d,Electronics Store,2010
400a983a-8b13-4d95-ba83-4819b4f7daba,Electronics,421.63,6167,a3943e5a-f159-47f9-89a6-526d57e48b43,Supermarket,2000
2e6ab116-9583-433e-b3c6-bc981eff1d5e,Clothing,287.14,7849,7633eb2f-9855-4eeb-8acf-e7a955c4b152,Electronics Store,2002
37b53e27-ad73-4622-acb6-afe80e69cd63,Appliances,470.56,8718,42abd150-e42d-4d59-aad4-264d084cb752,Online,2012
a4805f77-4c8f-454d-a6a6-9a77e3ecebd1,Food,397.17,8674,286c0560-2ad4-4556-a3fc-0dd6fa80a80a,Supermarket,1990
55b0f92e-f1b9-4033-a1b0-58e8aab2e653,Appliances,145.42,7986,786e4481-3c45-4666-a066-dea8e438197f,Electronics Store,1990
1bea0276-2b2c-42d4-aab0-7d51fd2cb301,Food,327.78,1515,3e78259d-7078-4d90-9862-3c0a618dfa40,Fashion Store,2010
2687407b-5b1b-4db5-9d03-dcf460b19496,Appliances,457.79,104,c196e631-9d6c-4b4f-a670-11a6938f9201,Electronics Store,2001
4a66a652-7ae5-4a24-b3bc-4d199f31339b,Electronics,52.85,1307,810c2ad0-2359-4e7b-80cb-d000902b3fef,Fashion Store,1994
2ee67918-9085-4f72-8241-ceb225aca8a5,Electronics,164.32,2973,62ada448-a7b5-4046-9d29-fbb88acecd7c,Supermarket,2011
f05a8401-a7a0-44fe-babd-bc6ec50d840a,Appliances,221.42,4264,345198fe-74d3-4eb6-8282-12f10f2abd6d,Electronics Store,2013
91b5f93e-b3ae-4458-9b14-9f7bacbf6ed7,Electronics,470.33,5361,563d6d38-9fc3-4228-85f5-8d205c045e55,Online,1990
c2e981d4-486f-4070-81c8-cc6a8a0d2ebf,Food,429.76,4344,cfe0a9c7-e84c-41b9-9a04-1e573088e9e2,Supermarket,2014
893fd7aa-0a9e-487d-b8ea-62579fbf5490,Electronics,449.8,444,938b325f-f2f8-4385-81b0-a114bbdea50f,Fashion Store,2009
8b08d91e-40ae-4d5a-951e-737c18d1b280,Appliances,326.38,1856,598895e2-58e7-4400-aa58-fc966b6fbacf,Supermarket,2000
aa285c1e-e78f-43b7-831d-929004b2e00d,Clothing,113.35,5164,5d4492ef-1dad-408b-996c-23860b3cf195,Fashion Store,2015
cb5065bf-1e5d-4620-9cde-2fed506f34bd,Appliances,175.23,2243,3049eacb-c30d-4857-b4ad-1a0ae325fd72,Electronics Store,1994
9a9c6f10-3f03-4a1a-b050-d661e41bffc5,Food,410.61,1198,22ff2269-02b6-4ee6-b4d6-2dbc24117198,Fashion Store,2004
b41ad5a0-e005-4030-af42-6c76812b6de3,Appliances,367.69,9205,108aee0e-0438-46c8-a1af-77d319742f37,Electronics Store,2019
0c80e57e-0538-4513-bcbd-2ce6d3773578,Food,140.6,8583,0c058041-15a2-43e0-b842-4470231bd163,Electronics Store,2004
c9d1b3c7-dd46-4493-85c6-d6dcd6732ffa,Appliances,241.22,8841,19aacaf8-5ee2-403b-b953-6b6581b80a37,Electronics Store,1990
bdfd8aac-c3bb-42c8-a9ef-3a251f932438,Food,466.76,8586,8be1f00a-8e55-4bb1-86c7-fd54ef1ef193,Fashion Store,2001
7a047110-ce23-4231-b7ba-0286aff10301,Food,439.76,5205,35ad0c85-9ed1-4caa-b697-c0c4f39c7bde,Online,2004
05bb424d-aba3-4824-919a-9822e0497223,Clothing,492.34,2279,423073ee-4ab9-451c-a42c-4fd09b3349e5,Online,1996
77422387-d4da-4bb3-945c-c57dab1891dc,Electronics,304.57,9281,ed6bca1b-fef1-4e24-949e-d5b3d9922f72,Supermarket,1997
5d2e8166-b9f4-446e-a41b-e56f9e201b41,Food,217.8,597,b584f855-0fc6-43f5-b04d-c6000a5e9609,Online,2010
e7735297-d4e8-4109-a68a-00ceae07d3a0,Appliances,120.96,6543,ca484427-c3de-4e00-8730-a8823b5ea077,Online,1992
52e798bc-9ea0-4318-998c-2c12c271e271,Clothing,478.83,6196,ce803a55-e480-4314-8dcb-bbd5d0b5dc49,Online,2000
aa4fcfd2-a4f3-4bee-ab3e-2cfa9cc91640,Appliances,93.52,9902,75a000c2-6984-465a-9575-1c9104cdbee4,Electronics Store,2009
7f6d92d2-a857-405f-9afc-d951e4c78188,Appliances,156.48,2540,da05ff4f-5a3f-4f55-97d0-60949970fcb1,Fashion Store,1993
550346df-7422-4438-8ab0-5e0a1b58022a,Clothing,204.0,1964,2a68bc72-5c9c-4718-b286-2f348f299e21,Fashion Store,2006
87045d9a-5dfc-4b37-9297-2249f41d95ea,Food,114.61,7493,544e75d2-a873-4465-be20-465a49e021fc,Electronics Store,2005
c41e38ce-0f30-4d8e-8f16-5fd76ea9a163,Food,174.25,2243,83e22f5c-4ae4-4cd9-8992-cc9f239a0801,Supermarket,1998
8d1480fa-1f37-44a8-9bfd-9edf66da2975,Clothing,126.56,3896,027a3711-4537-4859-a5fe-e2cddb378e61,Supermarket,2004
64b4cfc3-1f10-43da-9697-e4717b27d2ff,Food,391.92,5695,b0a92254-95fa-4f00-908f-8ab63318ab6f,Fashion Store,1991
8e6b14e0-ab2a-48ee-886e-924cb4f41691,Clothing,185.74,879,2d20a99c-d307-4f28-908f-16a8dfc80b4a,Supermarket,2012
a5d7564a-13d8-4c4d-8638-2c9cf197772b,Electronics,85.03,4135,a25fabe8-98cd-4747-9ba8-f9739aec5d57,Supermarket,1998
9d5c934b-73cd-45bf-b075-420788a1d4d5,Electronics,443.98,7246,4d06d09d-a1e9-4fe9-9917-86adaa283672,Supermarket,2017
a385ebe0-e917-46f4-b19e-04f4a1558820,Electronics,224.87,2719,9d57f6a6-d824-4e40-8b67-c0bdb39805d9,Supermarket,1998
f0ba44c9-f70c-4e6d-b28c-9ad549eaedf5,Electronics,58.17,453,6ba97258-3927-426f-916f-99c533b8e26f,Supermarket,2012
248618e9-b072-4a67-a7fa-9cedb4de9c5e,Food,139.06,1853,6fa99eee-f28f-4cf0-9d26-1b6398a34db8,Online,2005
5fc7c79c-688d-4706-8411-b38709e49a47,Electronics,319.43,9303,a05d5e08-6ef7-41bf-8130-5689500853ae,Fashion Store,2020
ddfa2216-aca3-4555-a37d-267f985ed796,Food,107.45,9219,e36a627a-92ef-4bac-9df2-08b247818511,Supermarket,1996
aec030ae-add7-4e71-a1fd-7f72e8f56e6a,Electronics,203.29,7654,7cb6e6f5-b0f5-4ef4-a151-68e9c434a526,Electronics Store,1998
48cf7964-827f-4196-aeaa-5f579855b538,Food,364.28,3385,89aed5cf-c5ca-4db8-a7f0-a5da80db915f,Fashion Store,1998
58ec4ddd-3e40-43fd-bf25-be2f08a65bca,Electronics,158.98,3829,2886adb4-3b84-44b3-b3b1-179663a22166,Online,2001
afb0118c-2713-4609-a202-ff8159851e49,Electronics,474.15,4249,995145e1-fa44-4b9b-8da5-e1fb2e574198,Supermarket,1994
9dee7e64-f1dd-4c67-a670-ed3ebeece520,Appliances,481.16,5119,f077503e-29b1-4f3e-a347-9c8977ba4abf,Electronics Store,1998
dafcb829-bfea-4037-8a28-34c87b3d347e,Food,496.9,1368,3905d43d-de9b-4ad0-b611-b70790decaa2,Supermarket,2002
defc9631-23f9-4724-898b-1c785d55c5d1,Electronics,308.1,1449,f43f22b6-92c4-4586-9b97-40a9d83d6d85,Electronics Store,1993
3a595a94-b274-49e4-9677-57606cce17d8,Clothing,386.79,1693,7295fc02-45a4-42e3-822d-21c65d739586,Online,1997
21703aff-47f2-425c-9f35-bc729cf384f6,Clothing,112.39,2650,a1f483e9-78c8-4993-856e-160d8de22c9c,Supermarket,2001
57252ea8-c017-4c53-9bb7-dcbb378bfd7c,Electronics,301.56,7824,3235cde7-b766-46d2-ab80-2000634712cb,Supermarket,1991
3b7a937e-fd45-4bdc-b887-71597d6472d3,Electronics,254.24,104,368cb5c6-0334-403c-a480-0a729d10eb14,Electronics Store,1998
361efd02-0fdc-42ea-8b6e-fef5bd151ac1,Food,161.03,4645,ba374fa7-4aff-41d1-ab07-a69022a90b48,Electronics Store,2019
0d0e8cb9-1c52-4ce1-a752-f5149c764ee2,Clothing,225.42,5755,046c6757-0862-42e5-94f3-56cb003f8514,Fashion Store,2018
7c7e68b8-2509-48a6-af5d-681c21c786ce,Clothing,134.73,4663,65bc2068-2409-49f1-930f-ea85a78d6c46,Fashion Store,2016
91c99550-1d55-4f47-aff2-49773560d27f,Appliances,311.76,9730,321ac4ec-4105-4c15-9257-96d6908fb030,Fashion Store,2009
3139e4f8-e2d7-40e7-9c74-0ec3d02f6c6b,Clothing,335.83,5923,f25c28ae-82d8-4a9a-b87a-b910655f7adc,Electronics Store,1998
a6ab32d4-be6a-4ba3-b819-d6c9daf6b4dc,Appliances,109.67,471,db7e8236-981d-4867-9d49-87d7dc98d7c3,Online,1997
a9aebb2f-4c0a-4a6a-9fe0-413736e60d73,Appliances,264.62,7621,27dd64eb-675c-4200-9ffa-2969591a126f,Supermarket,2005
23ef9a06-94b4-4bbd-b726-db0ecb9b4b86,Clothing,459.33,3676,91d82586-a2ce-4803-a3ba-d89692ccf0bf,Fashion Store,2005
7eef2be6-ef61-40b4-b450-43728f30435d,Electronics,476.91,351,29c48011-208d-4327-a9c1-c7d610041ef7,Online,1997
b0e829bf-e892-4bd3-b1b3-78d9ddf3dcd5,Food,423.75,356,8f2ac21d-d31b-42d4-9844-efdad7f74d5f,Online,2002
532c8a0e-48df-4186-b483-e8f4c2384504,Appliances,119.62,9352,3baf18c8-f2d8-4fc3-9592-071343b40c5c,Supermarket,1998
2b536696-87e1-41be-96a0-879888862c79,Food,236.65,673,dfe0b6f8-42b1-4ade-a8f4-74f2255be9cc,Electronics Store,2014
79c2b5a5-6c1d-4436-b8d9-7e42b49c3c62,Electronics,250.04,8450,cbf41737-6a82-493f-8952-aa32670325d4,Online,2004
01ee7d7a-8873-4e0e-b0ed-9e6e08bbaf8d,Food,240.42,9928,efbb4dd2-b9a7-49cc-8d8f-09203f9e0a57,Fashion Store,1998
08638ff2-1bb5-47af-8a78-4758784f2570,Food,492.56,5439,674c3b2e-ed0a-4be3-8258-3d2839c9c2ae,Online,2016
eff43ec4-48b6-4ed1-a17d-fa1b8fcdd2e2,Electronics,106.8,469,8dce4c91-805d-4073-9258-fb2f7b9190b9,Electronics Store,1990
6c88d6e2-41bb-43f2-bc6b-b4a32286b308,Electronics,484.15,8533,ee2bf702-81ac-43f8-aaef-bd9b2b43933c,Electronics Store,1995
f797c481-63c7-4311-a84b-29f48305bd3a,Electronics,118.6,8019,c922ecd2-3122-4b56-bd7e-5440824ac0c3,Online,2009
d4c5c5f3-59f8-4c27-a53c-6284002dd02f,Food,263.7,6176,965561a9-4d32-41d2-84dc-e909e62f28d7,Supermarket,2010
5be983cf-ec85-4836-a257-2411c4d0e18e,Appliances,416.79,5435,e551a6e7-eed7-4c77-92d1-28f85dba7693,Supermarket,1992
a42e6e0b-32eb-4723-94f6-7f7b7aa86d94,Appliances,428.06,1945,14bd9344-c786-4fd4-87a6-c058f4cb9411,Online,2006
fb11a84b-9c56-468c-a9e0-f48cae714ad7,Electronics,104.95,3366,55ffa725-cd1e-4c75-9558-75eb5e63faf6,Online,2009
05b72b72-eec4-4b55-9cf6-e7fd31624a90,Electronics,359.74,8914,b7ee6f7e-a4c6-4df9-a80d-908902c52b72,Electronics Store,2003
d6acc5ae-b471-4b11-9e8f-b6459b3ab24b,Clothing,354.28,3022,4bef415b-5451-40b5-a9c5-a2fa028490c3,Supermarket,2018
2d42ecf3-b0f1-44d3-bc0a-d03d13a4a11b,Appliances,175.63,8671,464efc03-5f4c-40da-b4bf-688ee2b5bd43,Electronics Store,2014
0ac817ec-6aa1-475a-bf83-5f82d6d8bbe7,Clothing,330.01,6481,c837a8d9-e2d7-4c89-971d-2a70627f8222,Online,2006
c211bacb-c4c5-43aa-b5cc-2c7d403d772d,Clothing,66.01,9886,7e6deebd-e0e4-40c9-b3dd-9c170cb3aa3e,Online,2018
8c726476-6500-4406-8108-a0762c5242d6,Electronics,240.36,2082,f009040e-8b7c-464b-920f-46a77844a65c,Supermarket,1999
2f9a88fe-ce1e-4040-a39a-3aa09f91f590,Appliances,395.35,2090,85b08c78-23e9-464b-a6e4-9f956a889c58,Supermarket,2001
16e19576-fb0a-4c00-ba14-2e8561617002,Electronics,62.17,3185,4b5c1420-5c48-446c-9688-9a65b46a7b8b,Supermarket,2001
f2febe98-0e20-4682-9283-0d9288960f6c,Food,116.69,180,0383af98-468f-468c-a274-083edcaa4568,Online,2005
11e0ede7-1d19-4e2c-ac5a-ba9cd409739e,Food,203.37,8507,edddc5c6-68b7-4525-8bec-19e380846a37,Fashion Store,2000
190e5fd8-6f7e-4c59-8acd-84a05a7b2cef,Clothing,80.38,7982,7f4f8876-db46-4aa7-9add-99ba627a2090,Fashion Store,2013
ec4a9f54-4208-40e2-bedc-fcf27e284715,Clothing,190.03,3252,a0b1b764-7f20-474e-b475-80783fc335c6,Fashion Store,2014
9427a619-463b-49e5-8a0d-eaa115176ce0,Electronics,221.4,4224,9f762841-1ed6-4484-86a3-8981a4a287c6,Online,2020
e119e5c5-9761-42ad-92f2-92bb212f1783,Appliances,260.37,6462,aa52a0cf-ba19-48a9-bee1-7fc4f27cc47f,Electronics Store,1997
8fe394c0-7952-4bda-9201-5dc541688a2e,Food,321.11,8075,15810ea0-b1ff-4db4-888a-f1528b2d6d46,Electronics Store,2017
55151259-ceca-4a60-aa0c-986a61a817f3,Clothing,134.94,3592,9582aa98-ec88-48b9-9f07-3022b24f7c9a,Supermarket,2011
d0b541e4-eca9-4213-8fca-2718f4981679,Electronics,94.17,9219,05dad05e-f767-4795-a420-d7e5df086c5f,Fashion Store,2008
7b6c3dae-5e09-4aa2-b107-92578bf60128,Electronics,137.73,1074,449d486e-65ac-4a76-8690-df5ba6ac217c,Supermarket,2017
a15a970e-d300-46b5-8e75-a9bd55f29e17,Food,158.12,3658,1fdec842-4e6d-4a2b-9584-3b1abf00592d,Online,1999
d29c004a-5a52-4f0c-a878-2aa54eca26e7,Food,361.05,3928,a52e1726-2ef9-431d-88f2-99cb94b15234,Fashion Store,2011
03bf77b9-fe75-4c72-8f93-8419c6c759a1,Clothing,391.36,2657,4944c256-e602-4d35-9967-90313f0989d8,Online,2010
8744a01b-7271-48ce-923c-3e090826f613,Clothing,430.23,8105,896338b6-c4de-45ae-a748-5b237ecef0c7,Supermarket,2000
62448254-37fd-4b4d-9d16-de40bcb50f4b,Appliances,54.56,7366,2da8a321-619b-476f-b4b5-88f9cc4e6672,Fashion Store,1998
92aa1c32-eb06-4529-b288-2fa2b84ac9d4,Food,367.92,2433,d19d5d08-682b-4697-b2ce-9a41ddb3cbb8,Electronics Store,2010
b17066ed-6089-4079-b98f-ade192becd4d,Food,474.02,9281,2f9a46ab-c8fd-4ec3-a8f7-e06b08ddc70c,Online,2007
33cb039c-9edf-4f93-abfd-cd4efb256c9c,Food,395.35,1493,5ccfba8a-c8a1-4e2c-8d1a-4a4178352524,Supermarket,2018
8931cd30-31b8-4c7f-9f21-26088c10aab4,Food,377.7,7268,136e7695-7233-436c-a087-df748dabc92f,Online,1991
a98b24e6-0604-40f5-b1b5-8ed827090e07,Food,349.6,9745,55ca2c4c-96e6-44ac-aa93-17762d37c939,Supermarket,2011
1ec0eb61-b81b-4c70-a12e-49a0fe01efc2,Electronics,286.3,3046,c4733fa0-0239-49c2-85c4-9b2ec59a11c8,Fashion Store,2002
dbcc9a0d-70b9-4ca0-8315-b71ceed5a847,Food,463.79,9828,863ba09c-7654-4163-ad91-303afda9731f,Electronics Store,2009
338d233a-b968-4f1a-92cc-ccfb815063cc,Food,58.74,8708,5f584224-e3e0-490e-896d-c069c114efd5,Fashion Store,2010
4673ebfb-f45d-430a-94ad-5f87d21dba18,Appliances,119.72,2151,a4ee8cf8-4a81-4299-ac58-ae8964ecc6a0,Online,2005
8f741783-c343-460b-9bef-ef16132e0caf,Clothing,258.09,706,5d21a625-903d-4d34-8671-bb911b22534c,Electronics Store,2016
a69318a4-28a9-41e1-8908-fc9616b0da73,Clothing,262.51,4299,2585a941-cf72-41df-9910-fd37b176cc00,Electronics Store,1997
16b5ce6a-9733-4c2d-b711-4bb815c5b095,Food,294.39,9152,e79a62f4-b74f-4550-a95e-36a07b12aa76,Online,2018
9569b856-7b7f-4fd4-b374-67d7f9307c70,Food,425.23,4586,679171a7-c4aa-4eaa-9f99-e9e706b2f5bc,Fashion Store,1999
ac121dd9-8bd0-43bd-9a8d-7a526ad1ddd0,Appliances,251.67,1450,9174f780-1e72-4a4d-8a2a-2f3f78d40044,Fashion Store,1998
0944a3d8-4be5-4ff5-87ab-ded7f5be7027,Food,448.4,1218,7b0375b8-2bfa-4242-a79f-b07092f504b2,Electronics Store,2007
9ab98d60-aa66-433e-bb0d-8956bd29ab12,Food,485.64,2597,653fc77f-b6d4-4851-a2aa-17dff9985eb0,Online,2002
370a6721-d55b-48b4-8593-b8b423b10c6c,Clothing,207.15,4292,fa54e9d9-1edb-4257-9a37-8cad9250caec,Online,2007
268c1959-bec4-4470-bd8a-48b58ecb5b17,Appliances,467.54,9471,388c9eca-dfc7-4591-b503-594fb298c9ff,Supermarket,2007
89769fdc-5a4f-49f5-a59e-ff487080fab2,Food,410.85,2621,5eabcfbe-1ba3-43b2-af96-e64aa905fa40,Electronics Store,2015
e29f731b-bc36-48fb-afe4-d22b93e86acf,Clothing,284.0,8630,5cb0193e-1a16-423f-a34e-2cfdc5c7b3e8,Online,2015
921ab480-f6c3-4706-a582-07797eca2d43,Electronics,265.64,3008,f96f839b-4b7e-4b0c-a773-9d8f4aadb260,Fashion Store,2015
cd54ce32-3a68-469f-be66-767cda1c737d,Electronics,379.77,8402,a63fedf9-4c3d-46df-b58e-fb58d7579211,Online,2009
930bb08b-62fd-4198-a2ba-142998df021c,Food,194.39,5453,1abfaeae-a4b9-42b7-aadc-8bfac205e6c0,Supermarket,1990
a62f0214-baaa-42c1-8813-99ddbe70ee5d,Appliances,214.55,2891,a936fdd8-b493-45e7-97b0-4c350aeed708,Online,2000
c1e87868-3754-435a-afd9-4079efd869b7,Appliances,310.65,9914,45ee3f3e-795a-4c31-a151-7d2c4f712f13,Supermarket,2000
aaf013a3-896b-4c4e-ab74-519173cc518d,Electronics,301.45,8149,f521dadf-4dbd-4dea-8fa0-ef4b5a92a9d9,Electronics Store,2003
73e06243-deeb-4bbb-a16f-5dafba17da3c,Electronics,96.98,4969,23e9abdf-0b2a-4898-82cd-fac865ac2888,Electronics Store,2005
684d487f-9add-4bdb-adb8-8951ae1452d5,Appliances,55.14,9556,31e5915a-5f66-486b-99f0-3ebc01c3d9bd,Fashion Store,2017
f13e16cc-6c87-422d-a08e-990ecc21f818,Electronics,270.91,6872,e23edaee-2384-46ac-8921-e8fb05d29852,Electronics Store,1994
33db10f9-3276-4a3a-8125-12281ddfe0f2,Electronics,116.03,644,e77c5d81-c763-42fa-9484-99768617bea8,Online,2000
a8f8d3d0-89d5-4be0-8b9c-cfcbc4b5862d,Food,68.27,1802,56aa2605-33b1-4601-be24-b174281046d7,Supermarket,2013
aa7d22a2-974f-4d9a-8ac2-f05600a96ccf,Food,448.09,4523,b4e44470-6a53-4ddd-b356-d4c8d1db38c6,Supermarket,1998
4c20b3ac-57d6-4422-aa1f-d32879cdcfd3,Appliances,397.52,1071,f21bd079-f4f6-46cb-8e82-7eec01b9c7f2,Electronics Store,2016
edb2c716-c75c-41eb-af3d-b714c6d763f0,Clothing,477.16,3701,be5e6606-790b-4a86-890a-f54ad01b9f85,Online,2014
34a1edde-bd22-4a89-b58f-fc95ff780ea8,Food,499.44,8052,2c858dcb-2574-42cc-9fa2-af11890eb4e8,Supermarket,1991
33afa4e1-b96a-4812-ac7e-4352f6d01286,Clothing,166.54,1484,04580d9c-ed00-49da-a110-55bd5d2fc4e9,Fashion Store,1998
2739bcd1-d34b-4478-b904-373ed3f31a02,Appliances,218.41,9684,2cfeb5dd-fd1b-4cdd-b677-ade3ca76b1d0,Fashion Store,2016
61e63451-333d-40d7-b31c-645737820c59,Electronics,315.23,7080,69e9368e-e24e-4a91-962c-5f4684a4378a,Electronics Store,2013
f8ed88d6-582c-4210-8ca4-b44ec6b19b4f,Appliances,97.2,2935,e2f5e805-b333-4ab1-8822-8bba7332f653,Electronics Store,2013
c24f7a6a-5cfb-4ebc-b16a-1fa4d306105c,Electronics,463.7,3115,93daa1bd-ac44-4358-90ea-fdf013035837,Supermarket,2016
caf8cecd-c077-4a78-ad03-588bf91c4813,Food,143.55,4839,8b16e2dd-b3b1-4d18-a38c-cdb0331d03f1,Electronics Store,2020
b8acd9b4-4a7b-45b3-8f19-f8f046e2c10a,Electronics,120.33,9079,acbf88ca-e2da-435b-9532-cdce43b10607,Supermarket,2011
7c3813de-11be-4179-84ee-e9d1d446afbe,Food,203.54,9326,601eb704-ea04-4e23-b4b4-3fa8bad3f5ac,Online,2017
34425e19-7401-4d13-8cbe-6b42a1c4f345,Electronics,153.18,6814,0cc2a583-fa21-43de-b32f-d196658e4f44,Online,2004
a8d0fa79-b544-45c0-87ca-d0fccfde699a,Electronics,210.47,3607,df987535-564d-4ab9-8dfa-3a6ce49a8651,Supermarket,1994
0a523472-e53a-4ea8-9afb-c88712d1e6e7,Electronics,419.42,2621,3598a367-6706-4b5e-b268-8b54aac000d4,Electronics Store,1999
266c5498-aa6e-41fb-8618-196f9c488777,Appliances,293.09,559,9967c660-e336-4352-a725-243d078b6a2c,Fashion Store,2017
2d944377-cadf-419f-a921-973310cb8afe,Appliances,171.28,659,690d0412-6983-48ab-9e33-786afc2070cc,Online,1994
8935e2d2-5f5e-4719-a7d2-7630a65618d0,Clothing,361.68,3284,98f3462a-1a88-4c9c-9353-ea1998b82bab,Electronics Store,2015
ddb9122b-2021-4328-a089-90767fc0223f,Electronics,273.89,764,1704e571-78c3-4513-9bea-3bf64c263435,Supermarket,2000
dd5e5714-93d0-4079-b9e3-83116f5a0d9e,Food,478.33,6213,1522321b-b75c-4253-8fb1-d4c40f55aa54,Electronics Store,2013
67e20597-6395-4805-b2d4-f30969af1b4a,Appliances,491.86,5227,7fc28e9e-938f-452b-a161-c5b5af0ad184,Supermarket,1998
a6b81651-74ff-4d70-971b-7c07bcb704ff,Food,435.27,4331,4f785b0e-1406-4e0a-b9df-a399b2b2e005,Online,2001
0ac426d7-2469-44df-9099-d7cd0ff95225,Clothing,458.25,5222,ace25420-d441-4ab3-b02f-d045893b659a,Electronics Store,1992
b3dd7779-1fe0-4ae8-9f85-88a1bac05520,Electronics,375.72,3931,60b53aaa-7564-4b06-b42d-ef5a2261a53b,Online,1994
0b14beb4-6ee5-4853-bd59-b4763f3e8dd4,Appliances,494.84,2891,58d784fa-1a94-4182-8406-ae0986ec6641,Fashion Store,2008
40038ba1-fd0d-4e6b-9c67-4aedb5f15986,Food,247.03,2938,c3c352e6-e761-428b-8008-aed79f265a61,Supermarket,1997
