Item_Identifier,Item_Type,Item_Weight,Item_Fat_Content,Item_Visibility,Item_MRP,Sales,Outlet_Identifier,Outlet_Type,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type
3bbf482a-6010-4d70-9952-3395441d610f,Electronics,6.8,Other,0.880094,150.75,6540,88bd2052-94f3-4a65-a8bb-21d8316e2710,Electronics Store,1997,Small,Urban
c8799851-3de0-4ceb-a16f-5478222309c9,Clothing,0.32,Other,0.906395,272.08,3121,a60d7de6-a7e2-4be4-853b-285fd84f7cb4,Online,2013,Large,Rural
de165879-0304-4573-a3d4-e46f4f86fc21,Clothing,0.32,Other,0.045139,453.45,7025,071ef8de-518b-4ec6-87b0-6f5c018e918f,Electronics Store,2014,Medium,Urban
ffd29baf-728e-4fdd-a315-7b1a27b6dbb4,Appliances,7.14,Other,0.740103,414.78,5364,52794eae-8436-4f6e-aab4-f87b2a30c646,Electronics Store,2016,Small,Rural
d211935f-0289-45bf-b19e-92cb13ade3d2,Clothing,0.32,Other,0.442611,134.01,8658,0c025f3a-eb26-4ee6-92fc-327502fdaea5,Online,1993,Medium,Urban
6f488a1e-3aca-4298-b71f-0c5ce53590f0,Clothing,0.32,Other,0.00944,237.17,2056,345ee724-18d4-44cc-92dd-8c0d7ffac40d,Online,2008,Medium,Rural
247e0620-8d80-45d4-98d4-869b02c32e1d,Electronics,6.8,Other,0.714864,63.28,5654,f1f15496-a0e0-4794-b53c-f3c6f7adc3e9,Online,1997,Medium,Urban
41d39950-10f9-4dc4-94ea-0b92eab642ee,Clothing,0.32,Other,0.791031,187.58,2184,5eea2b87-b270-45ec-9513-64abd79013d9,Online,2005,Large,Urban
6cba13fc-a077-4463-933a-66cbe123045b,Food,2.1,Low Fat,0.726097,266.61,7484,61fe897a-66b8-4d64-97d2-9ed41cc4e702,Fashion Store,1992,Large,Urban
96a81db7-fd96-4240-896a-af82db542143,Electronics,6.8,Other,0.109791,188.19,6547,0e7cd86f-0476-4c69-a7e4-5fc610a115ff,Electronics Store,2010,Small,Urban
e9f0cb1d-b29b-45a0-95ad-2260a0adf408,Appliances,7.14,Other,0.594537,334.79,8960,6902bec9-48ae-4b1d-b49d-f672ee32db5e,Fashion Store,2001,Large,Rural
369172fd-0b32-48dc-a336-8480bd8b0236,Food,2.1,Low Fat,0.529987,369.77,4298,c1e3c217-21e2-40e0-8652-f7c62710aee3,Fashion Store,1992,Large,Rural
d2266be5-fa28-4e16-9430-8d528462040b,Food,2.1,Regular,0.785951,82.53,5417,19ec637a-b30d-4666-a9bd-e0d0c11a6c9a,Supermarket,2000,Large,Urban
77bb6224-90b1-4312-bf04-5c869b686589,Food,2.1,Low Fat,0.125195,350.81,6812,ddbbb8e3-8d51-4e9d-91f4-09beb0e0f109,Supermarket,2015,Medium,Urban
99e5d01a-5ac3-46d0-92ce-c033c7a8312f,Appliances,7.14,Other,0.383908,194.02,7561,5d5bdb7e-e44c-4f31-8e20-3a7d02039621,Supermarket,1998,Medium,Rural
e5f1df4a-4327-4aeb-b25b-fd40bd98ace9,Appliances,7.14,Other,0.281538,218.83,5672,703e3519-95cf-4c83-97ed-98e3a5f79ae3,Fashion Store,2007,Small,Rural
0ab543b2-dea0-4d86-836e-20b09d8e4988,Appliances,7.14,Other,0.52884,173.58,6818,654c06c7-6701-4453-aa15-02fc36fe0bac,Supermarket,2011,Small,Rural
f089e35d-7a77-4465-9c4a-f183d9ecf58a,Electronics,6.8,Other,0.155917,438.52,9786,b5096014-7238-4c39-8fae-536c12fe2120,Supermarket,2013,Medium,Rural
07916608-db47-413b-b044-d77ac1d4d9e2,Clothing,0.32,Other,0.080066,239.98,3660,167e328d-4e1d-40a2-b3bd-df439ab334a0,Fashion Store,2013,Small,Rural
e1c7b8e1-742c-42c1-abe3-bf68db9635bf,Electronics,6.8,Other,0.219643,135.15,4647,6fdac8cb-c8c4-4cd1-a2ae-4792869ae4a6,Online,2008,Medium,Urban
a9471568-834d-4645-9b60-ffef3ec7938c,Appliances,7.14,Other,0.045652,170.74,3297,00d448b6-bde1-403f-a4e7-6c4f25c325d8,Fashion Store,2017,Large,Rural
66873f98-eaa8-42b7-bd82-b1c19570518b,Clothing,0.32,Other,0.218985,151.92,9488,442105de-462e-4727-8bec-d0d61145ef3e,Electronics Store,1994,Small,Urban
c3e47352-ef28-42a6-ad39-28a657f05a7f,Clothing,0.32,Other,0.444382,220.88,3510,62215b2a-17f3-4e1b-b81d-d517660bade0,Fashion Store,2018,Medium,Rural
d7e288ed-2c31-4ff9-a793-9e9784772eec,Electronics,6.8,Other,0.868681,173.95,5893,082fc33d-2bd2-4400-9702-962fbb9dc103,Supermarket,2004,Medium,Urban
4e4f0e74-4318-4625-871e-7fd2a42c6464,Clothing,0.32,Other,0.939829,437.31,2939,74f5642a-0e45-418b-9957-87574f3233d7,Online,2002,Large,Urban
5588e42a-e941-4364-a84b-63078c12bab8,Appliances,7.14,Other,0.213565,351.92,9264,4e4c35ee-8ac9-4667-8717-c91e5aaece91,Electronics Store,2008,Small,Rural
6b132fbb-441a-49f2-a55a-76e0e4022720,Clothing,0.32,Other,0.439279,375.94,3270,c4f4270f-2a61-487e-add3-8785dbf30eee,Online,2005,Medium,Rural
5e1c3ab8-c0ae-4f81-b21b-d0ea3a3fa01b,Electronics,6.8,Other,0.505295,356.2,5531,9fcf52a1-9f6e-4954-9a97-97184e8b85b0,Fashion Store,2020,Medium,Urban
60957648-ea58-42ea-8e5d-fa398d408da3,Electronics,6.8,Other,0.809186,478.03,4346,a7738cc9-f834-498b-943d-3d6f994c65db,Supermarket,1999,Medium,Rural
4c062d31-f0df-4e0d-837d-31214c28d5d6,Appliances,7.14,Other,0.409497,173.76,5977,0bfa5266-0090-4eae-bc5a-5f080ac1578d,Supermarket,1990,Small,Urban
a742e297-d469-47a7-87dc-4dae8cc4a261,Clothing,0.32,Other,0.278113,67.97,4491,b84d2952-2bea-4363-bb38-a787a477df32,Supermarket,2013,Large,Rural
e96d3146-c6f6-4d8b-b1af-7e33df4af3a4,Clothing,0.32,Other,0.881608,283.35,4514,a50acbef-492f-4915-8da6-0aa237001929,Fashion Store,1996,Large,Urban
5a644b24-3140-4397-809a-1229de2e74d4,Appliances,7.14,Other,0.326202,471.08,9476,286fe070-3efc-4d54-b4aa-be88c961161c,Fashion Store,2002,Medium,Rural
720e3c65-8868-4cb3-9d4e-ec1ddd384478,Electronics,6.8,Other,0.486934,253.68,3436,77c5ef93-fb96-4cc3-815f-6eea66295990,Fashion Store,2017,Medium,Urban
916ddf09-3861-47fa-b4f4-b44c5c549509,Electronics,6.8,Other,0.696899,382.0,3032,8cbc3fd6-34cb-435c-98a7-364304485535,Supermarket,2014,Medium,Rural
664629b3-f820-4d9a-a63d-6a63290730c4,Food,2.1,Low Fat,0.847676,96.82,1214,b6ebaa8a-8fd3-4a7c-ab6b-ddec9e78f6dc,Supermarket,1999,Small,Rural
7945dbca-afb3-460b-875f-19d9446451fd,Electronics,6.8,Other,0.532531,141.47,347,d0ad4ac2-01d7-4af0-89a0-b36155dac17b,Electronics Store,1997,Small,Urban
d71dec8d-e7fc-422f-bd81-fa730ef60b09,Appliances,7.14,Other,0.408265,102.4,3374,c24c4348-3a7a-41f0-b6fe-ae1b7407efbd,Supermarket,2013,Medium,Rural
91d44978-7992-40af-9a3f-92b3b43692b9,Food,2.1,Low Fat,0.601547,90.76,7837,543452f8-bf5d-422a-8a4f-f1cbf94efa82,Electronics Store,2014,Small,Urban
5478dd74-60b6-479e-b955-10310488e422,Electronics,6.8,Other,0.40077,439.35,3186,e435c2c0-6d02-46b6-9a45-3d5291f3e8eb,Supermarket,2008,Large,Urban
b40b906c-17d1-40f3-a0fc-6d6e7d65299e,Food,2.1,Low Fat,0.102352,283.8,2235,827cb0b4-19ed-4a9d-80d3-66398f445819,Online,2009,Medium,Urban
a9215113-0262-45da-8cd1-4fdb61eb5c14,Electronics,6.8,Other,0.808004,257.35,847,14201787-1a68-4cf4-9e7c-688a624a5b84,Supermarket,2019,Small,Urban
1533300e-b5f8-4047-bc9c-d8b93c744f68,Food,2.1,Low Fat,0.335977,204.11,5578,8f0b3e88-5b22-4b14-8eff-b4948811ddc3,Supermarket,2008,Large,Urban
a6d72ad6-3da5-49af-ba47-ccbdd54b5508,Food,2.1,Regular,0.070759,397.8,7676,a02be1c6-5d11-4de2-9e7c-7cc30f88a768,Electronics Store,2016,Small,Rural
1161a92a-bf3e-4929-8fab-53f6abf82e1d,Appliances,7.14,Other,0.608763,310.13,705,3433713a-2e43-4e85-88a2-3ddba0ad3229,Fashion Store,1993,Small,Rural
71fc99e7-9a8b-42bf-b10b-052975863812,Food,2.1,Low Fat,0.336364,207.94,2147,6b9a95ea-22ed-4ffd-8b21-e014e81b0da6,Electronics Store,1992,Medium,Rural
4d27f50d-38b6-4d88-a052-bd3f94f41c9e,Appliances,7.14,Other,0.020473,334.31,849,c943b86a-4b84-4582-9c93-c72d72ce1264,Online,2012,Medium,Urban
a73decf1-8595-4361-be68-52463c60e29a,Electronics,6.8,Other,0.862311,159.01,8287,eb4365cc-30bd-4fdf-90c2-fb5642f6ae70,Fashion Store,1992,Small,Rural
047fec00-f765-481c-a0ea-9be9c8cee060,Electronics,6.8,Other,0.166916,153.32,8263,f39fa10b-9a72-486f-89e7-59d1818d6fb8,Supermarket,1997,Small,Urban
af78879e-da0b-42c0-a822-af58bbd1414c,Appliances,7.14,Other,0.390427,438.05,9929,776c9f40-437c-4f09-b2da-055caeaf8eb8,Supermarket,2016,Large,Rural
6b36b934-4283-4002-9399-f85ec092b045,Appliances,7.14,Other,0.978615,309.33,578,c4bf7a7b-6e04-4652-8b86-2c7bc8a39b09,Electronics Store,1994,Medium,Rural
1d5d6207-a6c0-4ab9-892f-be6707280a07,Clothing,0.32,Other,0.765696,434.25,7124,18dab7ce-837c-4348-9f6a-03993274b5ae,Electronics Store,2017,Large,Urban
2c08d7de-d49c-4ea1-a07b-0c7361ac13e4,Appliances,7.14,Other,0.339187,345.23,3590,47110404-535f-43de-95e5-dd19f1835479,Supermarket,2014,Small,Urban
4bc85c3d-28c3-438a-b277-93b042ab6cc0,Food,2.1,Low Fat,0.857027,62.99,8253,ca117e02-6dba-49ad-9613-ec99eb470e6b,Online,2008,Medium,Urban
271efb0d-ded0-46e8-9798-872c126f62bb,Appliances,7.14,Other,0.525049,421.6,6033,5f890a9c-19bd-478d-8910-78a3ea2d514a,Online,2015,Medium,Urban
b59d8b77-7015-4492-9e2d-e99aed510e8f,Appliances,7.14,Other,0.762571,155.84,9938,3b038b23-23ff-4298-9f65-389c426cef5b,Electronics Store,1997,Large,Rural
5fe9fb8b-5d87-4fbb-be76-f16dd21abab9,Food,2.1,Regular,0.914863,481.29,4380,c5e368fd-9669-494a-9d52-6b530c24337d,Electronics Store,2018,Large,Rural
8ff715f1-bd39-4e17-8c41-d9c1b9920390,Appliances,7.14,Other,0.287545,160.26,6899,fe617586-5531-49da-ade8-f6693f9f5150,Supermarket,2008,Medium,Rural
b10653d4-bc33-4814-8cf0-87242ad4e9b8,Electronics,6.8,Other,0.181534,222.56,3273,3c876a9b-cbaf-42ca-9674-0a442c64f87f,Supermarket,2007,Medium,Rural
ce5f0481-3fd3-407d-94a3-2f0bcecab8cc,Electronics,6.8,Other,0.794639,170.36,877,4c20692d-8767-465b-b95b-658216b3ccbe,Fashion Store,2012,Medium,Rural
9e804b2b-167d-40b8-a46c-e9866be3388d,Electronics,6.8,Other,0.816313,431.89,6800,c8c49ffa-e7b2-434f-96a8-68253ab23a20,Fashion Store,1994,Large,Urban
8ebc692a-f031-46c9-b70a-87301809eaa3,Food,2.1,Regular,0.041384,432.45,612,851c0381-9b7e-4c9e-b9cc-43fe0bea21c4,Online,2002,Medium,Rural
5e80cf03-98ca-4fb5-a4ce-fa6e494292ee,Electronics,6.8,Other,0.396841,114.42,2843,74432ca4-7d6c-4802-9ec8-48e556d2a756,Fashion Store,1994,Medium,Urban
38621f76-e68a-4278-9a1b-fc0fb9d2a587,Clothing,0.32,Other,0.752335,84.43,3387,a2fa9b28-3722-4041-ba56-3552d4ebb69a,Supermarket,1991,Medium,Urban
3e663d53-8598-475f-bfd6-bf1205102f47,Appliances,7.14,Other,0.001989,306.38,136,e3761112-0fb3-4eb7-83c0-5834c8fe1253,Fashion Store,2015,Small,Rural
a644fd16-2ded-474c-8e3a-ec7d053ef129,Electronics,6.8,Other,0.37156,59.67,6292,d635d2b2-f923-463c-a83b-fc4a66c48da2,Supermarket,1995,Small,Rural
fe7f08a6-b8e6-41f7-a47f-8ade493e5502,Clothing,0.32,Other,0.284389,281.42,4795,fe51772f-feb1-4ae2-902d-0d8fc57d084d,Fashion Store,2018,Small,Rural
5e16565c-e7f0-40c4-a10f-b02015d144cf,Food,2.1,Regular,0.377904,252.36,4822,ac500ac0-dbb4-4c42-af01-a28fb665fa9b,Supermarket,2012,Small,Urban
9662c761-9249-4eae-abc4-dd8adf46dce3,Appliances,7.14,Other,0.722258,270.08,4152,aaa96fb1-5aaa-4c95-91e3-d0ae5116a8ba,Fashion Store,2011,Large,Rural
b2e32ec2-822f-42d3-8e9b-0fe194384a97,Appliances,7.14,Other,0.283777,215.59,9662,67359442-5d9b-4f31-aaff-6cb1b66fd3ab,Online,2012,Medium,Urban
d3ac73ea-5968-440e-a350-c7f92e3b986a,Food,2.1,Regular,0.48836,194.53,1472,c928038e-579b-440d-abd0-932fe3df18f7,Supermarket,2011,Small,Urban
a54ccd4f-1a57-4527-825c-22b428bfad89,Electronics,6.8,Other,0.41476,261.6,3434,d840cc77-c527-42bb-9f3b-05f96ff37135,Fashion Store,2020,Medium,Urban
21f0eaa7-bdf2-4d3f-a8f9-3aa820fba0ae,Food,2.1,Regular,0.650746,453.87,9667,10c158b2-46ab-4e64-8657-627dd0d7bccf,Electronics Store,2015,Large,Rural
76bbbff4-e10c-4daf-8962-b3ee30502bc8,Clothing,0.32,Other,0.650217,322.67,4198,fa460b58-f2dc-4dc7-b407-81515646a971,Electronics Store,2011,Large,Rural
09ddb696-6ec3-40bc-9dd2-99ab31cfc987,Electronics,6.8,Other,0.65464,61.41,2346,072c4346-f3eb-49b0-bc08-a26936d2f182,Online,2008,Small,Urban
56042b43-da96-4d0c-b901-a934c7882891,Food,2.1,Low Fat,0.402186,302.09,9872,4be73832-6d68-496f-9a19-de7a8c60d5df,Fashion Store,1991,Large,Urban
0105c084-d734-4252-be8c-a2861d5bd6d7,Clothing,0.32,Other,0.132909,295.73,6342,b346670d-152b-430f-97ad-1cad4e516e63,Electronics Store,2017,Small,Urban
4215ee5b-8c41-409e-b9ae-2a94c724bf64,Appliances,7.14,Other,0.235262,346.35,3802,d0b1293b-9779-48d3-9500-bfdd85a941a6,Online,2017,Small,Urban
d5680517-6102-48f9-8361-20b4e644bf92,Electronics,6.8,Other,0.16637,466.16,5018,4fb59f65-5fea-4d34-80fb-163978330acf,Online,1990,Large,Urban
7bf4b9a3-cc6f-49e1-a027-459ae76c54d9,Appliances,7.14,Other,0.18153,370.94,3167,f53d839c-6fcd-4898-9403-a74e0c2c77ef,Electronics Store,1992,Small,Urban
a565c669-5676-4e9b-950d-6dc4a759ba11,Appliances,7.14,Other,0.280676,443.87,3481,0063e024-5021-4018-bfd2-e020c8850514,Supermarket,2003,Large,Rural
1bf92c71-ab04-49ec-8ef5-c08bce1a2fc9,Food,2.1,Regular,0.857157,452.63,5595,662267a7-e3ea-472d-b61a-83cd54f723b2,Online,2004,Medium,Rural
0e77b630-945d-4ebc-ab44-ea95bf47b89a,Electronics,6.8,Other,0.045317,494.63,8612,9f2700df-cd56-464b-9325-bb0b5696bc8a,Electronics Store,1999,Medium,Urban
eb723e3e-0534-45d5-9612-f2f34873b4f6,Clothing,0.32,Other,0.805321,219.62,5971,0da662bf-9bc3-4c70-88e4-2adbe282db25,Online,1996,Large,Urban
0b29a63d-6474-43e8-9d8d-3e171d5661c7,Electronics,6.8,Other,0.657347,253.71,4757,6fbd277a-8fec-4636-8743-3a953d6553e4,Online,2009,Small,Urban
e1d0fe97-d6a1-41bf-9aec-775f8f02adda,Clothing,0.32,Other,0.256497,126.48,317,46d0f5ca-0682-41bb-833f-712ead3138aa,Fashion Store,1990,Small,Rural
6dd2a4a0-55c2-4f87-92e5-0b90006b2802,Food,2.1,Low Fat,0.43433,243.18,4643,e4b3a401-b440-4b47-aa88-4a1698b39fa4,Supermarket,1994,Medium,Rural
3eff59ea-3dcc-4387-95ff-228ca2c8d8ce,Clothing,0.32,Other,0.837324,174.95,5486,948f2ae0-8ff8-4059-9557-8166051c0dbb,Fashion Store,2012,Large,Rural
a0a19bfd-5cf0-4de9-9946-a9990d4a568a,Electronics,6.8,Other,0.990776,121.5,2662,3f672db6-b389-426d-aa7a-63eb660549f6,Online,1991,Large,Rural
5f671462-e78a-4fc5-913a-12ace0801ac9,Clothing,0.32,Other,0.800826,190.47,2624,330759b6-eba4-409b-88f9-2dfec2402082,Online,2018,Medium,Urban
e368a30a-6f0b-4afb-81e0-3a3eed2cca20,Clothing,0.32,Other,0.878049,286.72,5683,b322cb43-b97e-443c-b9e8-d6a6afd8cd7d,Online,1997,Small,Rural
fc1b6364-af74-450c-9459-1c50049ce35a,Clothing,0.32,Other,0.920815,65.11,1090,e916a8c7-5ea3-4509-9c18-7a78d4838188,Supermarket,1999,Large,Urban
d499d835-6b60-4abf-be5c-6f6782b1412b,Electronics,6.8,Other,0.622926,296.54,5665,217b2835-5071-48c2-9461-fdf9df7e1bcb,Electronics Store,2010,Large,Rural
3b1042ed-676c-4bc6-9a55-1316ec28eea5,Electronics,6.8,Other,0.843442,125.61,1088,936e4a34-4803-42c5-bd03-66c654ea7845,Online,2003,Large,Rural
c3955061-1bb5-41d4-ae87-3a0b1354c264,Clothing,0.32,Other,0.671079,298.07,7489,6808cbe1-1471-4da6-8497-11ab346b16a7,Fashion Store,2004,Small,Urban
cad4f148-fe7a-455a-a893-235fb20b9f47,Clothing,0.32,Other,0.520501,163.37,8308,28d8ec3f-875a-466d-8c81-e783ef21aa28,Electronics Store,2003,Medium,Urban
15966651-f22e-42e0-9ae7-af6386d640c6,Appliances,7.14,Other,0.6395,98.66,540,5619fc54-9c0e-4fba-b6d9-ca11a284aa45,Fashion Store,2015,Medium,Urban
25c54468-1dd6-4626-89fe-e725e886503f,Electronics,6.8,Other,0.450145,58.21,441,0424c92e-20ab-4e8e-82f0-58dd644a7e89,Electronics Store,2003,Small,Rural
ccf7cbc4-b29f-47bd-8770-1740febf9db3,Electronics,6.8,Other,0.054085,486.57,1548,0385da03-87bc-426f-9c6c-26652669fcc5,Online,2016,Medium,Rural
7de9e1e2-cc68-48cb-b8e0-a69d380c2d81,Electronics,6.8,Other,0.935471,362.33,8719,75791096-65b6-47d3-857e-95f2ab837095,Supermarket,1993,Medium,Urban
911e4e66-f155-4a6e-b237-ff8006001f0a,Electronics,6.8,Other,0.081428,70.4,5126,be4a7cd0-4c1f-4dc4-8fd0-0584f8566242,Fashion Store,2015,Small,Rural
cd9d9a49-fc18-4d07-948e-35d7e7fd0027,Clothing,0.32,Other,0.418057,357.63,145,3d1becd1-0151-4f15-8ded-81a43b2a9f4b,Electronics Store,1990,Small,Rural
a7150db5-b78a-4f18-8b18-980703078edb,Appliances,7.14,Other,0.53927,140.03,7471,0244dd79-257f-41bc-8732-e2041606de16,Supermarket,1995,Large,Rural
41bebcc8-18d8-4c1f-a07c-9ccf913585a5,Clothing,0.32,Other,0.801,443.75,9106,417c34c1-a337-4871-ab40-db1acfcbb162,Fashion Store,1991,Large,Rural
696c5353-e724-4134-9afa-15f1adc45c9f,Electronics,6.8,Other,0.119839,198.24,8418,0bd18d49-0ea4-41bc-9e45-10fda1eb6f67,Electronics Store,2000,Medium,Rural
62855985-7317-4c46-98b6-5f3dea8c119a,Electronics,6.8,Other,0.614112,362.06,406,024f2be6-14b1-4092-9a2d-fb8220608179,Online,2017,Small,Rural
98c2e1f7-b3f8-4f9f-b252-90a7dbfadc7d,Appliances,7.14,Other,0.699507,227.09,3593,edbdac8b-fc6c-489c-80ce-df8093e24ded,Online,1991,Medium,Urban
0509ab9e-99af-4cb2-95ee-ff61cf30f8b4,Clothing,0.32,Other,0.217044,284.81,4880,cbf587f8-29a5-417b-9c55-5a2a2d489607,Fashion Store,1996,Large,Urban
398b4f72-b5e0-4281-b06b-2626427c4df4,Electronics,6.8,Other,0.746861,162.78,1052,534a8915-465b-4d46-bf35-844788ab7649,Online,1997,Medium,Urban
88ba2c55-7b55-4b6e-a59d-ceec5b996c1e,Clothing,0.32,Other,0.183857,487.24,2348,79baa9c7-44e5-43a0-86f3-0ff7a95b400c,Online,2008,Small,Rural
7161dd78-bc27-42b8-9209-dd76af194003,Food,2.1,Low Fat,0.195875,78.49,9283,805ffd23-613d-455e-bfdc-30a0315e180b,Fashion Store,2003,Small,Urban
ae3b29e9-cd4e-48ff-8548-0b581c7994fb,Food,2.1,Low Fat,0.616558,341.98,1384,e4124bc6-ab7f-4ac5-a526-2d422b026fa9,Supermarket,2010,Small,Urban
1d3b620f-2366-4026-903e-4fb77837eb5e,Clothing,0.32,Other,0.190542,372.17,4853,cdda2680-6ace-4931-b2c2-a8f2511e9d86,Electronics Store,1998,Small,Rural
96d946c4-bbc9-47bf-bf1f-1a0a02e30642,Food,2.1,Low Fat,0.72684,92.3,2279,142a0f9e-f296-4097-816d-fdc1d53b37f8,Supermarket,2000,Large,Rural
af2f4895-32b9-4b94-8617-93e4d55bd930,Electronics,6.8,Other,0.992651,366.34,272,a1e06de3-3c29-42a3-8d92-dd91219ac2c2,Fashion Store,2008,Large,Urban
6cd9ea5d-88d8-4677-9d3f-95b950b30798,Appliances,7.14,Other,0.020562,398.0,6410,a1981640-173a-4bff-8002-72c389112565,Online,1992,Medium,Urban
96eed302-0bf9-4fb2-934c-2d98b6e54694,Food,2.1,Regular,0.939788,183.15,8302,de795569-a78e-448c-ae59-c2fd4c4af43f,Electronics Store,2006,Large,Rural
3fa6ce8b-1929-4890-9fbb-8f31a6d3f6f3,Appliances,7.14,Other,0.085946,326.04,3786,410c5fbb-34f9-476a-aedc-5eebb67ae65d,Fashion Store,2007,Large,Urban
a33b4108-7576-4a54-800d-5932758b544a,Electronics,6.8,Other,0.187578,233.84,5359,e863b26d-3426-460c-8901-f9c3c0089802,Supermarket,2010,Large,Urban
6ff348c3-93f4-4a1b-a028-4d0103f37f97,Food,2.1,Low Fat,0.790469,156.01,7737,43b4b93f-656a-4dbf-b42b-976c49f79cb8,Fashion Store,1993,Large,Urban
5f7d0d32-854f-49f0-96c6-c085b88c805b,Appliances,7.14,Other,0.208091,416.71,7140,ca906f54-8141-462f-b64e-161a03d3e351,Online,1997,Small,Rural
0a2b70a9-4dc0-4a6a-b37d-ffabf164c9e7,Appliances,7.14,Other,0.122416,148.7,475,b3e18e7f-4186-49ae-8287-ae6f9c7c7232,Supermarket,2007,Small,Urban
b9dfb00e-2ab8-4e78-bcf2-9043e543edd8,Food,2.1,Low Fat,0.265288,491.19,6838,91eb84f7-b8c4-4867-b021-54fbc5a78eb3,Electronics Store,1996,Large,Rural
422185d4-f4ea-4a15-ac3e-c9b2f8c8c2c9,Clothing,0.32,Other,0.164295,144.03,5985,cd39f6bf-6725-49fb-acd2-ee9ab2991cfa,Electronics Store,2016,Large,Urban
f7564e0d-9ff2-43d7-be90-788d8350ce22,Appliances,7.14,Other,0.401147,481.28,5490,bf616e34-e1d9-42df-862b-91d91d91a3b3,Fashion Store,1999,Large,Urban
ce7e17a7-f7fa-4b33-91c5-e4ca25554055,Food,2.1,Low Fat,0.154142,442.32,7480,cfc10982-70f3-4bab-8203-f1624664faf0,Supermarket,2017,Small,Urban
ad90af1c-156b-4b7b-9c9f-676882de90b6,Clothing,0.32,Other,0.150445,241.99,6701,fd30c486-caab-4da5-b648-bd31c8b6042c,Electronics Store,2004,Small,Rural
3c384f8c-431b-4c04-b641-84b1e2d93f60,Appliances,7.14,Other,0.147113,346.52,9229,fbedc9b7-7c84-417d-a926-eebad1e82de3,Fashion Store,1997,Large,Urban
8deb8120-7066-4c6d-ac90-c802a2bc565e,Clothing,0.32,Other,0.673674,198.38,6923,7f76c265-3149-4390-8c86-8a7a8e0afb42,Supermarket,2016,Medium,Urban
be2ef343-af6f-4b78-a867-bd1e327308b3,Clothing,0.32,Other,0.445485,282.68,6728,0608014d-6064-45cb-b86c-555881eb226f,Supermarket,2003,Small,Urban
