item_id,date,month,year,location,category,item,sales,price,discount,total_sales_value,profit_margin,advertising_spend
606892,2023-04-26,4,2023,Mumbai,Sports and outdoor,Sports equipment,2835,604,21,1352748,169,520
787503,2021-10-20,10,2021,Kolkata,Dairy,Yogurt,1887,1849,4,3349500,765,1083
941213,2023-06-13,6,2023,Bangalore,Electronics,Television and home theater,258,798,21,162648,158,1943
871502,2022-04-14,4,2022,Bangalore,Clothing,Sports clothing,922,2859,9,2398758,2283,1426
590178,2023-09-25,9,2023,Hyderabad,Books and stationery,Books,252,607,12,134608,542,8167
137626,2023-03-26,3,2023,Pune,Automotive,Accessories,2814,146,10,369759,33,5915
616313,2022-08-13,8,2022,Chennai,Beauty and personal care,Skin care,2944,4586,12,11881041,3223,8952
100796,2023-12-16,12,2023,Ahmedabad,Toys and games,Games,1287,2454,19,2558221,122,1685
688814,2023-05-25,5,2023,Ahmedabad,Books and stationery,Office supplies,2791,2502,16,5865788,2333,2445
8854,2021-08-23,8,2021,Chennai,Grocery,Meat and seafood,892,4624,29,2928471,4104,9703
590178,2022-03-12,3,2022,Bangalore,Books and stationery,Books,16,749,15,10186,351,3719
137626,2021-05-22,5,2021,Chennai,Automotive,Accessories,45,2200,19,80190,1376,1976
527637,2021-04-02,4,2021,Pune,Clothing,Shoes,1749,2003,11,3117889,163,5799
288342,2023-05-20,5,2023,Delhi,Toys and games,Crafts,2022,1402,8,2608056,102,5202
959447,2021-01-05,1,2021,Chennai,Home and kitchen,Kitchen appliances,768,2816,25,1622016,844,7691
590178,2023-09-14,9,2023,Pune,Books and stationery,Books,127,922,0,117094,507,1359
260309,2023-10-06,10,2023,Hyderabad,Electronics,Computers and laptops,567,429,12,214053,17,225
639741,2021-08-12,8,2021,Chennai,Beauty and personal care,Men's grooming,1285,3757,17,4007028,1178,5133
260309,2023-03-03,3,2023,Mumbai,Electronics,Computers and laptops,1892,3925,0,7426100,1805,6520
606892,2021-11-08,11,2021,Chennai,Sports and outdoor,Sports equipment,227,2737,8,571595,1662,8121
690362,2022-02-06,2,2022,Mumbai,Other,Industrial and scientific supplies,2122,1285,28,1963274,455,3980
527637,2023-02-27,2,2023,Kolkata,Clothing,Shoes,503,2175,6,1028383,249,6657
339067,2023-07-24,7,2023,Bangalore,Dairy,Cheese,456,1708,15,662020,1470,7043
923713,2023-10-15,10,2023,Kolkata,Sports and outdoor,Fitness equipment,1180,3002,3,3436089,879,7047
137626,2022-05-30,5,2022,Ahmedabad,Automotive,Accessories,2235,3580,24,6080988,636,5390
785610,2023-02-17,2,2023,Mumbai,Home and kitchen,Decoration,1717,313,7,499801,112,3537
323539,2022-12-16,12,2022,Mumbai,Books and stationery,Stationery,2389,3498,25,6267541,1414,6306
965420,2022-01-18,1,2022,Bangalore,Books and stationery,Art supplies,1693,4946,9,7619955,2243,8449
436259,2023-06-13,6,2023,Hyderabad,Clothing,Men's clothing,1891,4881,9,8399273,629,9730
787503,2022-09-01,9,2022,Hyderabad,Dairy,Yogurt,2468,3373,11,7408861,1897,2685
959447,2023-03-21,3,2023,Ahmedabad,Home and kitchen,Kitchen appliances,323,2854,26,682163,1348,7814
965420,2023-12-27,12,2023,Chennai,Books and stationery,Art supplies,1634,3525,12,5068668,2802,3567
590178,2021-07-20,7,2021,Bangalore,Books and stationery,Books,2799,253,20,566517,111,4686
941213,2023-04-26,4,2023,Mumbai,Electronics,Television and home theater,2926,387,13,985154,245,676
288342,2023-05-29,5,2023,Mumbai,Toys and games,Crafts,1264,4248,8,4939914,1766,1576
260309,2021-07-16,7,2021,Hyderabad,Electronics,Computers and laptops,346,3733,9,1175372,1295,6864
635723,2021-10-20,10,2021,Bangalore,Grocery,Grains and pulses,2394,2117,28,3649030,410,6177
590178,2022-07-05,7,2022,Ahmedabad,Books and stationery,Books,338,2620,6,832426,1205,4890
118120,2021-06-20,6,2021,Pune,Grocery,Canned and packaged food,2683,3413,9,8332941,3034,8179
965420,2022-07-12,7,2022,Kolkata,Books and stationery,Art supplies,2211,3691,7,7589544,286,1865
611210,2022-06-06,6,2022,Bangalore,Sports and outdoor,Camping and hiking,1705,1874,11,2843701,802,1269
712704,2021-09-13,9,2021,Kolkata,Other,Musical instruments,1684,4855,23,6295381,675,1443
100796,2022-04-24,4,2022,Mumbai,Toys and games,Games,1767,2407,13,3700257,331,8189
635723,2021-07-11,7,2021,Ahmedabad,Grocery,Grains and pulses,1385,2476,26,2537652,1592,1350
137626,2022-08-24,8,2022,Chennai,Clothing,Accessories,1648,1874,8,2841283,1470,3498
686914,2023-01-23,1,2023,Pune,Toys and games,Toys,2776,1055,10,2635812,1006,5871
157636,2022-11-19,11,2022,Kolkata,Home and kitchen,Furniture,2946,1356,23,3075977,1046,9994
527637,2021-04-14,4,2021,Kolkata,Clothing,Shoes,1052,1096,18,945453,215,166
936403,2021-08-30,8,2021,Bangalore,Dairy,Milk,391,1621,0,633811,1531,4218
241400,2021-07-10,7,2021,Mumbai,Other,Gifts,1971,3567,2,6889945,1137,4241
480150,2023-04-21,4,2023,Hyderabad,Beauty and personal care,Perfume,2086,4175,19,7054330,1446,4253
787503,2021-01-13,1,2021,Mumbai,Dairy,Yogurt,1960,1200,8,2163840,1033,5580
423976,2022-10-15,10,2022,Bangalore,Grocery,Spices and herbs,1854,2222,8,3790020,1339,8701
870504,2022-09-08,9,2022,Kolkata,Electronics,Home appliances,509,70,21,28147,21,1577
451769,2022-10-23,10,2022,Bangalore,Grocery,Fruits and vegetables,1781,4118,25,5500618,1370,260
241126,2022-03-23,3,2022,Mumbai,Grocery,Snacks and sweets,2917,4122,29,8536950,1277,4872
137626,2023-11-22,11,2023,Hyderabad,Automotive,Accessories,213,2953,23,484321,2164,849
959447,2022-12-11,12,2022,Pune,Home and kitchen,Kitchen appliances,1176,595,7,650739,311,2454
686914,2023-02-03,2,2023,Kolkata,Toys and games,Toys,2920,3429,27,7309256,3041,9423
923616,2023-04-30,4,2023,Pune,Clothing,Women's clothing,271,4096,4,1065615,83,3019
16266,2022-02-08,2,2022,Ahmedabad,Beauty and personal care,Hair care,1804,4974,22,6999014,2164,1262
936403,2023-04-23,4,2023,Delhi,Dairy,Milk,288,591,28,122549,173,8585
690362,2023-03-10,3,2023,Bangalore,Other,Industrial and scientific supplies,553,1097,17,503512,679,1424
785610,2021-04-16,4,2021,Bangalore,Home and kitchen,Decoration,2394,362,22,675969,241,5650
740351,2021-02-06,2,2021,Chennai,Grocery,Bakery,208,1723,25,268788,45,6422
8854,2021-04-23,4,2021,Pune,Grocery,Meat and seafood,2225,4844,7,10023447,1964,4218
959447,2021-10-23,10,2021,Chennai,Home and kitchen,Kitchen appliances,671,1728,27,846426,1659,3906
100796,2022-01-22,1,2022,Chennai,Toys and games,Games,2717,4184,6,10685852,557,2935
639741,2022-02-15,2,2022,Mumbai,Beauty and personal care,Men's grooming,1570,2215,16,2921142,821,3754
347292,2021-09-11,9,2021,Kolkata,Automotive,Car parts,1831,1779,16,2736173,1627,818
423976,2022-05-18,5,2022,Hyderabad,Grocery,Spices and herbs,1181,3727,29,3125126,2656,140
323539,2023-04-05,4,2023,Chennai,Books and stationery,Stationery,2666,2992,30,5583670,450,6749
690362,2023-07-03,7,2023,Ahmedabad,Other,Industrial and scientific supplies,268,4729,0,1267372,422,2755
244714,2021-04-07,4,2021,Chennai,Electronics,Camera and accessories,2249,4977,26,8283022,578,5845
977511,2023-10-14,10,2023,Bangalore,Home and kitchen,Cleaning supplies,1467,1225,1,1779104,491,9134
265020,2021-10-17,10,2021,Kolkata,Sports and outdoor,Outdoor clothing,114,945,2,105575,692,487
682416,2021-06-11,6,2021,Kolkata,Home and kitchen,Gardening,2495,4244,7,9847565,1020,2790
241400,2023-01-24,1,2023,Delhi,Other,Gifts,2048,4852,22,7750778,241,6939
288342,2022-03-21,3,2022,Kolkata,Toys and games,Crafts,1119,3011,23,2594367,2646,2559
347292,2023-02-18,2,2023,Kolkata,Automotive,Car parts,220,2959,14,559842,1289,4635
100796,2022-10-11,10,2022,Chennai,Toys and games,Games,2134,2348,21,3958399,198,4969
959589,2022-03-28,3,2022,Bangalore,Automotive,Tires,563,3173,30,1250479,1005,5405
81516,2022-02-19,2,2022,Ahmedabad,Dairy,Butter,2430,3512,18,6998011,2525,7935
959447,2021-07-13,7,2021,Pune,Home and kitchen,Kitchen appliances,888,120,16,89510,65,9701
688814,2022-02-23,2,2022,Ahmedabad,Books and stationery,Office supplies,177,2190,17,321732,699,127
423976,2023-03-01,3,2023,Delhi,Grocery,Spices and herbs,349,1389,1,479913,369,3084
137626,2021-07-14,7,2021,Delhi,Clothing,Accessories,2120,3474,11,6554743,1794,928
616313,2023-09-27,9,2023,Pune,Beauty and personal care,Skin care,419,2630,27,804438,2309,2634
965420,2021-01-07,1,2021,Kolkata,Books and stationery,Art supplies,2279,1483,10,3041781,1408,3727
639741,2022-06-25,6,2022,Kolkata,Beauty and personal care,Men's grooming,376,877,25,247314,429,4577
241400,2022-05-09,5,2022,Ahmedabad,Other,Gifts,2280,861,15,1668618,532,9997
100796,2021-02-22,2,2021,Mumbai,Toys and games,Games,460,2727,3,1216787,1074,6178
590178,2021-06-20,6,2021,Hyderabad,Books and stationery,Books,1740,377,10,590382,148,254
436259,2022-09-19,9,2022,Delhi,Clothing,Men's clothing,600,142,26,63048,74,7300
871502,2022-11-08,11,2022,Mumbai,Clothing,Sports clothing,1573,1639,5,2449239,1243,3863
590178,2021-05-02,5,2021,Mumbai,Books and stationery,Books,2612,1815,15,4029663,347,1926
977511,2021-08-09,8,2021,Bangalore,Home and kitchen,Cleaning supplies,1399,4195,30,4108163,2091,5632
611210,2022-10-05,10,2022,Pune,Sports and outdoor,Camping and hiking,540,2582,1,1380337,1738,5331
712704,2022-03-04,3,2022,Chennai,Other,Musical instruments,1217,1342,24,1241242,596,892
436259,2021-03-18,3,2021,Ahmedabad,Clothing,Men's clothing,912,4126,4,3612395,1489,3890
86369,2023-01-24,1,2023,Ahmedabad,Electronics,Mobile phones,2436,2632,23,4936895,1975,9241
291607,2023-07-02,7,2023,Delhi,Home and kitchen,Bedding and bathroom,1975,4948,9,8892793,312,9986
682416,2022-05-14,5,2022,Hyderabad,Home and kitchen,Gardening,871,3379,4,2825384,2894,4533
959447,2022-03-05,3,2022,Kolkata,Home and kitchen,Kitchen appliances,2025,3626,7,6828664,3430,6931
690362,2022-12-23,12,2022,Mumbai,Other,Industrial and scientific supplies,304,4549,4,1327580,3943,5705
616313,2021-01-21,1,2021,Hyderabad,Beauty and personal care,Skin care,1612,2979,17,3985782,1213,3020
323539,2022-03-05,3,2022,Kolkata,Books and stationery,Stationery,123,2831,19,282052,971,6026
688814,2023-09-11,9,2023,Chennai,Books and stationery,Office supplies,1711,3620,26,4583426,1542,9304
871502,2021-02-24,2,2021,Hyderabad,Clothing,Sports clothing,2792,1852,5,4912244,772,3528
688814,2022-11-17,11,2022,Bangalore,Books and stationery,Office supplies,2264,780,8,1624646,495,830
758146,2021-07-15,7,2021,Hyderabad,Sports and outdoor,Cycling,1128,4591,11,4608996,2461,2080
137626,2023-04-27,4,2023,Mumbai,Automotive,Accessories,370,829,1,303662,573,5339
480150,2023-12-23,12,2023,Pune,Beauty and personal care,Perfume,1202,4018,17,4008597,2357,9282
81516,2021-04-10,4,2021,Kolkata,Dairy,Butter,2918,3803,22,8655780,816,2884
323539,2023-07-28,7,2023,Mumbai,Books and stationery,Stationery,2451,1538,17,3128799,63,3410
339067,2023-04-20,4,2023,Chennai,Dairy,Cheese,2512,2479,6,5853613,1458,7179
157636,2023-05-14,5,2023,Mumbai,Home and kitchen,Furniture,1318,717,30,661504,27,5434
137626,2023-11-19,11,2023,Ahmedabad,Automotive,Accessories,2314,2489,18,4722827,1188,6952
81516,2022-08-24,8,2022,Pune,Dairy,Butter,1039,2561,28,1915832,2530,8656
758146,2021-07-20,7,2021,Kolkata,Sports and outdoor,Cycling,1475,4680,10,6212700,4262,4509
957346,2022-04-09,4,2022,Bangalore,Automotive,Oils and fluids,629,1115,13,610161,660,8781
606892,2022-11-26,11,2022,Pune,Sports and outdoor,Sports equipment,1378,2492,9,3124918,1523,6439
423976,2021-03-21,3,2021,Mumbai,Grocery,Spices and herbs,974,3092,7,2800795,205,2546
936403,2023-04-28,4,2023,Kolkata,Dairy,Milk,225,2332,17,435501,1464,8631
868937,2023-11-14,11,2023,Mumbai,Beauty and personal care,Health and wellness,1980,1640,25,2435400,219,7675
339067,2023-06-03,6,2023,Pune,Dairy,Cheese,2879,3075,0,8852925,2937,6682
740351,2021-05-14,5,2021,Pune,Grocery,Bakery,467,1206,24,428033,1154,8857
957346,2021-03-18,3,2021,Chennai,Automotive,Oils and fluids,462,2156,14,856621,811,6790
265020,2022-11-17,11,2022,Delhi,Sports and outdoor,Outdoor clothing,2719,3509,26,7060318,2957,873
758146,2021-11-23,11,2021,Pune,Sports and outdoor,Cycling,87,352,22,23886,302,7144
957346,2022-12-28,12,2022,Hyderabad,Automotive,Oils and fluids,2829,3501,18,8121549,2997,6577
688814,2022-05-18,5,2022,Bangalore,Books and stationery,Office supplies,777,4645,8,3320431,3220,1154
977511,2022-03-30,3,2022,Bangalore,Home and kitchen,Cleaning supplies,1244,780,22,756849,441,2204
339067,2022-02-13,2,2022,Mumbai,Dairy,Cheese,1507,1126,21,1340536,981,5228
740351,2021-06-09,6,2021,Mumbai,Grocery,Bakery,2751,1009,20,2220607,664,933
436259,2022-05-22,5,2022,Hyderabad,Clothing,Men's clothing,306,804,27,179597,118,8999
157636,2021-09-30,9,2021,Kolkata,Home and kitchen,Furniture,649,2413,5,1487735,2235,1250
923713,2022-06-21,6,2022,Hyderabad,Sports and outdoor,Fitness equipment,46,3207,6,138670,164,9726
758146,2023-02-06,2,2023,Ahmedabad,Sports and outdoor,Cycling,2926,2728,3,7742664,1724,9229
137626,2023-09-15,9,2023,Pune,Clothing,Accessories,1624,944,26,1134461,611,6562
923616,2022-09-15,9,2022,Bangalore,Clothing,Women's clothing,1434,661,14,815171,178,5158
347292,2021-08-09,8,2021,Mumbai,Automotive,Car parts,1282,2497,0,3201154,1879,5417
339067,2022-01-11,1,2022,Kolkata,Dairy,Cheese,2501,1464,23,2819327,447,2565
787503,2023-03-20,3,2023,Mumbai,Dairy,Yogurt,2679,1894,7,4718844,236,2872
244714,2023-07-23,7,2023,Chennai,Electronics,Camera and accessories,960,3413,26,2424595,1960,9034
423976,2023-03-18,3,2023,Pune,Grocery,Spices and herbs,490,95,10,41895,45,9642
871502,2021-11-03,11,2021,Kolkata,Clothing,Sports clothing,947,4173,3,3833276,114,6707
771439,2023-11-23,11,2023,Hyderabad,Dairy,Ice cream,233,1551,14,310789,1195,5923
590178,2023-05-18,5,2023,Hyderabad,Books and stationery,Books,2076,1967,12,3593472,1004,1864
244714,2023-12-03,12,2023,Pune,Electronics,Camera and accessories,1961,4579,4,8620242,2105,5676
965420,2023-12-28,12,2023,Mumbai,Books and stationery,Art supplies,818,4206,7,3199672,1442,2487
288342,2021-01-20,1,2021,Bangalore,Toys and games,Crafts,1233,568,17,581285,476,2430
480150,2021-08-31,8,2021,Chennai,Beauty and personal care,Perfume,356,3670,16,1097476,1537,7019
787503,2023-10-28,10,2023,Mumbai,Dairy,Yogurt,245,4532,30,777238,3879,372
451769,2021-06-18,6,2021,Chennai,Grocery,Fruits and vegetables,4,3420,16,11491,809,3085
57527,2021-05-31,5,2021,Hyderabad,Beauty and personal care,Makeup,933,1120,1,1034510,374,9405
920471,2021-05-23,5,2021,Mumbai,Toys and games,Puzzles,1318,1442,25,1425417,1296,7542
639741,2023-05-26,5,2023,Mumbai,Beauty and personal care,Men's grooming,963,470,19,366614,245,7886
965420,2023-12-03,12,2023,Mumbai,Books and stationery,Art supplies,1853,1540,14,2454113,476,7111
100796,2022-05-14,5,2022,Bangalore,Toys and games,Games,2096,4685,7,9132376,815,5365
118120,2022-05-18,5,2022,Delhi,Grocery,Canned and packaged food,1049,4263,25,3353915,4118,4346
771439,2023-10-06,10,2023,Bangalore,Dairy,Ice cream,2591,2418,4,6014436,542,2664
785610,2022-11-23,11,2022,Delhi,Home and kitchen,Decoration,2698,3788,19,8278219,3530,9705
923713,2021-01-05,1,2021,Delhi,Sports and outdoor,Fitness equipment,2855,3465,24,7518357,2234,838
959589,2021-02-13,2,2021,Kolkata,Automotive,Tires,1740,1167,22,1583852,726,1108
611210,2021-02-22,2,2021,Ahmedabad,Sports and outdoor,Camping and hiking,2347,90,11,187994,44,8272
616313,2023-07-23,7,2023,Delhi,Beauty and personal care,Skin care,807,1220,25,738405,1078,4281
667236,2021-08-12,8,2021,Hyderabad,Electronics,Gaming,2264,3004,16,5712887,342,4359
244714,2021-03-03,3,2021,Pune,Electronics,Camera and accessories,767,2003,19,1244403,875,6604
590178,2022-07-22,7,2022,Hyderabad,Books and stationery,Books,800,2575,20,1648000,802,4125
870504,2023-04-03,4,2023,Pune,Electronics,Home appliances,2517,2158,13,4725566,1661,5995
288342,2022-09-12,9,2022,Pune,Toys and games,Crafts,1479,4895,9,6588131,3433,2416
611210,2023-03-21,3,2023,Chennai,Sports and outdoor,Camping and hiking,605,508,24,233578,470,1163
288342,2023-08-19,8,2023,Chennai,Toys and games,Crafts,2682,4918,23,10156358,4313,9360
712704,2022-06-21,6,2022,Delhi,Other,Musical instruments,801,3197,22,1997421,2911,7514
451769,2022-05-02,5,2022,Kolkata,Grocery,Fruits and vegetables,511,2556,0,1306116,899,4110
423976,2022-11-17,11,2022,Ahmedabad,Grocery,Spices and herbs,2579,350,30,631855,120,8150
868937,2023-04-20,4,2023,Ahmedabad,Beauty and personal care,Health and wellness,2668,1575,18,3445722,1140,7744
688814,2021-01-17,1,2021,Mumbai,Books and stationery,Office supplies,60,2363,25,106335,1478,351
771439,2021-08-18,8,2021,Chennai,Dairy,Ice cream,1843,520,20,766688,220,8953
712704,2023-03-29,3,2023,Delhi,Other,Musical instruments,1687,89,25,112607,14,3861
686914,2023-09-21,9,2023,Mumbai,Toys and games,Toys,1069,3421,17,3035350,2455,4955
137626,2021-11-03,11,2021,Pune,Clothing,Accessories,2300,834,26,1419468,475,875
317073,2023-01-28,1,2023,Mumbai,Electronics,Watches,1201,3645,7,4071209,2119,9784
965420,2021-11-08,11,2021,Mumbai,Books and stationery,Art supplies,584,4980,21,2297572,212,9094
347292,2022-09-20,9,2022,Chennai,Automotive,Car parts,541,923,5,474375,746,3949
920471,2022-07-16,7,2022,Chennai,Toys and games,Puzzles,1670,787,16,1104003,59,6634
957346,2021-08-16,8,2021,Mumbai,Automotive,Oils and fluids,1203,2510,25,2264647,1239,8047
923616,2022-08-01,8,2022,Hyderabad,Clothing,Women's clothing,1759,2269,30,2793819,1873,8980
546586,2021-04-07,4,2021,Delhi,Clothing,Children's clothing,1664,4722,1,7778833,4044,520
16266,2021-01-01,1,2021,Pune,Beauty and personal care,Hair care,2590,1529,15,3366093,635,8541
868937,2023-08-14,8,2023,Mumbai,Beauty and personal care,Health and wellness,1877,4159,20,6245154,4030,853
157636,2023-05-27,5,2023,Delhi,Home and kitchen,Furniture,2423,392,19,769350,17,5269
137626,2022-12-01,12,2022,Hyderabad,Automotive,Accessories,1033,3422,6,3322830,1284,1921
965420,2023-02-15,2,2023,Bangalore,Books and stationery,Art supplies,1182,2528,9,2719167,2236,233
616313,2021-11-11,11,2021,Kolkata,Beauty and personal care,Skin care,1224,1992,23,1877420,1428,6381
606892,2022-03-23,3,2022,Kolkata,Sports and outdoor,Sports equipment,2936,3409,7,9308206,854,7434
868937,2022-01-06,1,2022,Hyderabad,Beauty and personal care,Health and wellness,1550,186,22,224874,123,2081
590178,2022-02-02,2,2022,Kolkata,Books and stationery,Books,2554,1719,0,4390326,513,293
712704,2023-06-24,6,2023,Ahmedabad,Other,Musical instruments,1252,4967,6,5845562,1381,3975
927877,2021-08-07,8,2021,Mumbai,Other,Pet supplies,450,2007,14,776709,1476,6140
682416,2021-01-24,1,2021,Kolkata,Home and kitchen,Gardening,1827,1064,22,1516263,136,7729
920471,2021-05-04,5,2021,Bangalore,Toys and games,Puzzles,1917,1198,21,1814287,177,3087
241400,2021-01-05,1,2021,Mumbai,Other,Gifts,2185,1813,1,3921790,1073,1229
682416,2021-01-31,1,2021,Pune,Home and kitchen,Gardening,98,535,10,47187,423,9763
923713,2022-10-09,10,2022,Kolkata,Sports and outdoor,Fitness equipment,1795,456,15,695742,98,1437
44017,2023-05-31,5,2023,Kolkata,Grocery,Beverages,1465,958,28,1010498,834,8251
959447,2023-11-15,11,2023,Pune,Home and kitchen,Kitchen appliances,1115,2237,19,2020346,2135,9480
291607,2021-07-06,7,2021,Delhi,Home and kitchen,Bedding and bathroom,1321,3485,14,3959169,3271,5031
712704,2022-12-08,12,2022,Kolkata,Other,Musical instruments,536,1522,24,620001,237,2220
265020,2022-03-13,3,2022,Chennai,Sports and outdoor,Outdoor clothing,1991,2612,11,4628437,2186,6283
323539,2021-03-09,3,2021,Chennai,Books and stationery,Stationery,1816,896,1,1610864,551,2021
137626,2023-02-19,2,2023,Ahmedabad,Automotive,Accessories,264,4363,8,1059685,1412,3413
959447,2021-04-23,4,2021,Mumbai,Home and kitchen,Kitchen appliances,120,1040,28,89856,747,1308
686914,2023-08-30,8,2023,Delhi,Toys and games,Toys,2545,1152,23,2257516,780,7115
339067,2022-09-29,9,2022,Hyderabad,Dairy,Cheese,921,1474,14,1167496,1278,6837
639741,2023-08-29,8,2023,Kolkata,Beauty and personal care,Men's grooming,362,742,8,247115,458,2535
451769,2022-09-11,9,2022,Pune,Grocery,Fruits and vegetables,754,3187,19,1946428,1908,4304
81516,2023-12-09,12,2023,Chennai,Dairy,Butter,169,2269,21,302934,1078,7666
265020,2022-09-04,9,2022,Ahmedabad,Sports and outdoor,Outdoor clothing,1742,2665,22,3621095,1218,1462
920471,2023-10-27,10,2023,Ahmedabad,Toys and games,Puzzles,560,2757,18,1266014,1313,6771
871502,2022-08-13,8,2022,Hyderabad,Clothing,Sports clothing,2159,1400,23,2327402,725,8218
923616,2022-07-10,7,2022,Delhi,Clothing,Women's clothing,1568,586,9,836151,366,1287
16266,2021-01-29,1,2021,Hyderabad,Beauty and personal care,Hair care,847,3162,27,1955096,2838,8675
288342,2021-11-12,11,2021,Mumbai,Toys and games,Crafts,243,3498,16,714011,2292,4054
241126,2022-06-22,6,2022,Kolkata,Grocery,Snacks and sweets,1315,423,5,528432,25,7279
868937,2023-05-02,5,2023,Pune,Beauty and personal care,Health and wellness,764,2943,5,2136029,1907,2003
941213,2021-07-02,7,2021,Chennai,Electronics,Television and home theater,1689,3772,27,4650762,2630,7393
758146,2023-11-27,11,2023,Hyderabad,Sports and outdoor,Cycling,1380,1099,27,1107132,956,8016
451769,2022-12-20,12,2022,Delhi,Grocery,Fruits and vegetables,2726,237,25,484546,78,4347
57527,2023-07-23,7,2023,Ahmedabad,Beauty and personal care,Makeup,215,430,4,88752,150,2912
265020,2023-10-16,10,2023,Hyderabad,Sports and outdoor,Outdoor clothing,2980,3726,29,7883470,1292,863
977511,2022-11-24,11,2022,Delhi,Home and kitchen,Cleaning supplies,2491,3207,6,7509318,2163,9174
868937,2022-09-30,9,2022,Ahmedabad,Beauty and personal care,Health and wellness,1914,419,12,705730,79,3293
712704,2023-12-13,12,2023,Hyderabad,Other,Musical instruments,759,1637,22,969136,1506,8782
639741,2022-11-08,11,2022,Mumbai,Beauty and personal care,Men's grooming,1701,2326,8,3640003,353,2317
423976,2022-12-05,12,2022,Chennai,Grocery,Spices and herbs,1745,952,12,1461891,321,4796
957346,2021-05-24,5,2021,Hyderabad,Automotive,Oils and fluids,2381,2279,8,4992195,1505,937
244714,2023-12-04,12,2023,Mumbai,Electronics,Camera and accessories,1707,3276,10,5032918,340,6415
347292,2023-07-06,7,2023,Ahmedabad,Automotive,Car parts,2533,4340,21,8684643,3515,3462
339067,2021-07-05,7,2021,Hyderabad,Dairy,Cheese,86,945,28,58514,556,9433
965420,2021-08-29,8,2021,Bangalore,Books and stationery,Art supplies,1385,385,19,431912,92,6862
81516,2021-04-03,4,2021,Pune,Dairy,Butter,1982,1505,22,2326669,260,3475
241126,2021-01-13,1,2021,Ahmedabad,Grocery,Snacks and sweets,1931,2198,14,3650130,2134,6314
436259,2023-02-18,2,2023,Chennai,Clothing,Men's clothing,1242,4361,19,4387253,1588,3751
44017,2022-09-18,9,2022,Ahmedabad,Grocery,Beverages,1382,4710,20,5207376,152,5381
